"","Date","Song","Artist"
"6801","1976-09-01","Fleetwood Mac","Fleetwood Mac"
"6802","1976-09-01","Frampton Comes Alive","Peter Frampton"
"6803","1976-09-01","Spitfire","Jefferson Starship"
"6804","1976-09-01","Breezin'","George Benson"
"6805","1976-09-01","Silk Degrees","Boz Scaggs"
"6806","1976-09-01","Beautiful Noise","Neil Diamond"
"6807","1976-09-01","At The Speed Of Sound","Wings"
"6808","1976-09-01","All Things In Time","Lou Rawls"
"6809","1976-09-01","Chicago X","Chicago"
"6810","1976-09-01","Wild Cherry","Wild Cherry"
"6811","1976-09-08","Frampton Comes Alive","Peter Frampton"
"6812","1976-09-08","Fleetwood Mac","Fleetwood Mac"
"6813","1976-09-08","Spitfire","Jefferson Starship"
"6814","1976-09-08","Breezin'","George Benson"
"6815","1976-09-08","Silk Degrees","Boz Scaggs"
"6816","1976-09-08","Hasten Down The Wind","Linda Ronstadt"
"6817","1976-09-08","All Things In Time","Lou Rawls"
"6818","1976-09-08","Wild Cherry","Wild Cherry"
"6819","1976-09-08","Chicago X","Chicago"
"6820","1976-09-08","Spirit","John Denver"
"6821","1976-09-15","Frampton Comes Alive","Peter Frampton"
"6822","1976-09-15","Silk Degrees","Boz Scaggs"
"6823","1976-09-15","Spitfire","Jefferson Starship"
"6824","1976-09-15","Hasten Down The Wind","Linda Ronstadt"
"6825","1976-09-15","Fleetwood Mac","Fleetwood Mac"
"6826","1976-09-15","Wild Cherry","Wild Cherry"
"6827","1976-09-15","All Things In Time","Lou Rawls"
"6828","1976-09-15","Spirit","John Denver"
"6829","1976-09-15","Greatest Hits","War"
"6830","1976-09-15","Breezin'","George Benson"
"6831","1976-09-22","Frampton Comes Alive","Peter Frampton"
"6832","1976-09-22","Silk Degrees","Boz Scaggs"
"6833","1976-09-22","Hasten Down The Wind","Linda Ronstadt"
"6834","1976-09-22","Fleetwood Mac","Fleetwood Mac"
"6835","1976-09-22","Wild Cherry","Wild Cherry"
"6836","1976-09-22","Greatest Hits","War"
"6837","1976-09-22","Spirit","John Denver"
"6838","1976-09-22","Spitfire","Jefferson Starship"
"6839","1976-09-22","All Things In Time","Lou Rawls"
"6840","1976-09-22","Chicago X","Chicago"
"6841","1976-09-29","Frampton Comes Alive","Peter Frampton"
"6842","1976-09-29","Silk Degrees","Boz Scaggs"
"6843","1976-09-29","Hasten Down The Wind","Linda Ronstadt"
"6844","1976-09-29","Fleetwood Mac","Fleetwood Mac"
"6845","1976-09-29","Wild Cherry","Wild Cherry"
"6846","1976-09-29","Greatest Hits","War"
"6847","1976-09-29","Spirit","John Denver"
"6848","1976-09-29","Spitfire","Jefferson Starship"
"6849","1976-09-29","Fly Like An Eagle","The Steve Miller Band"
"6850","1976-09-29","Chicago X","Chicago"
"6851","1976-10-06","Frampton Comes Alive","Peter Frampton"
"6852","1976-10-06","Silk Degrees","Boz Scaggs"
"6853","1976-10-06","Hasten Down The Wind","Linda Ronstadt"
"6854","1976-10-06","Fleetwood Mac","Fleetwood Mac"
"6855","1976-10-06","Fly Like An Eagle","The Steve Miller Band"
"6856","1976-10-06","Greatest Hits","War"
"6857","1976-10-06","Wild Cherry","Wild Cherry"
"6858","1976-10-06","Spitfire","Jefferson Starship"
"6859","1976-10-06","Spirit","John Denver"
"6860","1976-10-06","Chicago X","Chicago"
"6861","1976-10-13","Songs In The Key Of Life","Stevie Wonder"
"6862","1976-10-13","Silk Degrees","Boz Scaggs"
"6863","1976-10-13","Frampton Comes Alive","Peter Frampton"
"6864","1976-10-13","Fly Like An Eagle","The Steve Miller Band"
"6865","1976-10-13","Hasten Down The Wind","Linda Ronstadt"
"6866","1976-10-13","Fleetwood Mac","Fleetwood Mac"
"6867","1976-10-13","Wild Cherry","Wild Cherry"
"6868","1976-10-13","Spitfire","Jefferson Starship"
"6869","1976-10-13","Spirit","John Denver"
"6870","1976-10-13","Chicago X","Chicago"
"6871","1976-10-20","Songs In The Key Of Life","Stevie Wonder"
"6872","1976-10-20","Frampton Comes Alive","Peter Frampton"
"6873","1976-10-20","Fly Like An Eagle","The Steve Miller Band"
"6874","1976-10-20","Spirit","Earth| Wind & Fire"
"6875","1976-10-20","Silk Degrees","Boz Scaggs"
"6876","1976-10-20","Hasten Down The Wind","Linda Ronstadt"
"6877","1976-10-20","Fleetwood Mac","Fleetwood Mac"
"6878","1976-10-20","Wild Cherry","Wild Cherry"
"6879","1976-10-20","Chicago X","Chicago"
"6880","1976-10-20","Dreamboat Annie","Heart"
"6881","1976-10-27","Songs In The Key Of Life","Stevie Wonder"
"6882","1976-10-27","Spirit","Earth| Wind & Fire"
"6883","1976-10-27","Fly Like An Eagle","The Steve Miller Band"
"6884","1976-10-27","Frampton Comes Alive","Peter Frampton"
"6885","1976-10-27","Hasten Down The Wind","Linda Ronstadt"
"6886","1976-10-27","Fleetwood Mac","Fleetwood Mac"
"6887","1976-10-27","Dreamboat Annie","Heart"
"6888","1976-10-27","Chicago X","Chicago"
"6889","1976-10-27","Silk Degrees","Boz Scaggs"
"6890","1976-10-27","Children Of The World","Bee Gees"
"6891","1976-11-03","Songs In The Key Of Life","Stevie Wonder"
"6892","1976-11-03","Spirit","Earth| Wind & Fire"
"6893","1976-11-03","The Song Remains The Same (Soundtrack)","Led Zeppelin"
"6894","1976-11-03","Fly Like An Eagle","The Steve Miller Band"
"6895","1976-11-03","Frampton Comes Alive","Peter Frampton"
"6896","1976-11-03","Boston","Boston"
"6897","1976-11-03","Dreamboat Annie","Heart"
"6898","1976-11-03","Chicago X","Chicago"
"6899","1976-11-03","Children Of The World","Bee Gees"
"6900","1976-11-03","One More For The Road","Lynyrd Skynyrd"
"6901","1976-11-10","Songs In The Key Of Life","Stevie Wonder"
"6902","1976-11-10","The Song Remains The Same (Soundtrack)","Led Zeppelin"
"6903","1976-11-10","Blue Moves","Elton John"
"6904","1976-11-10","Frampton Comes Alive","Peter Frampton"
"6905","1976-11-10","Spirit","Earth| Wind & Fire"
"6906","1976-11-10","Boston","Boston"
"6907","1976-11-10","Fly Like An Eagle","The Steve Miller Band"
